date,time,inside,outside
2020-06-03,04:22:54,0,0
2020-06-03,04:22:55,0,0
2020-06-03,04:22:56,0,0
2020-06-03,04:22:57,0,0
2020-06-03,04:22:58,0,0
2020-06-03,04:23:01,0,0
2020-06-03,04:23:02,0,0
2020-06-03,04:23:03,0,0
2020-06-03,04:23:06,0,0
2020-06-03,04:23:07,0,0
2020-06-03,04:23:08,1,0
2020-06-03,04:23:09,1,0
2020-06-03,04:23:10,1,0
2020-06-03,04:23:11,1,0
2020-06-03,04:23:12,1,0
2020-06-03,04:23:13,1,0
2020-06-03,04:23:14,1,0
2020-06-03,04:23:15,1,0
2020-06-03,04:23:16,2,0
2020-06-03,04:23:17,2,0
2020-06-03,04:23:18,4,0
2020-06-03,04:23:19,4,0
2020-06-03,04:23:20,4,0
2020-06-03,04:23:21,4,0
2020-06-03,04:23:22,4,0
2020-06-03,04:23:23,4,0
2020-06-03,04:23:24,4,2
2020-06-03,04:23:25,4,2
2020-06-03,04:23:26,4,2
2020-06-03,04:23:27,5,2
2020-06-03,04:23:28,5,2
2020-06-03,04:23:29,5,2
2020-06-03,04:23:30,5,2
2020-06-03,04:23:31,5,2
2020-06-03,04:23:32,5,2
2020-06-03,04:23:33,5,2
2020-06-03,04:23:34,5,2
2020-06-03,04:23:35,7,3
2020-06-03,04:23:36,7,3
2020-06-03,04:23:37,7,3
2020-06-03,04:23:38,7,3
2020-06-03,04:23:39,7,3
2020-06-03,04:23:40,7,3
2020-06-03,04:23:41,7,3
2020-06-03,04:28:05,0,0
2020-06-03,04:28:06,0,0
2020-06-03,04:29:22,0,0
2020-06-03,04:29:23,0,0
2020-06-03,04:30:04,0,0
2020-06-03,04:30:07,0,0
2020-06-03,04:30:08,0,0
2020-06-03,04:30:09,0,0
2020-06-03,04:30:10,0,0
2020-06-03,04:30:11,0,0
2020-06-03,04:30:12,0,0
2020-06-03,04:30:13,0,0
2020-06-03,04:30:14,0,0
2020-06-03,04:30:15,0,0
2020-06-03,04:30:16,0,0
2020-06-03,04:30:17,0,0
2020-06-03,04:30:18,0,0
2020-06-03,04:30:19,0,0
2020-06-03,04:30:20,0,0
2020-06-03,04:30:21,0,0
2020-06-03,04:30:22,0,0
2020-06-03,04:30:23,0,0
2020-06-03,04:30:24,0,0
2020-06-03,04:30:25,0,0
2020-06-03,04:30:26,0,0
2020-06-03,04:30:27,0,0
2020-06-03,04:30:28,0,0
2020-06-03,04:30:29,0,0
2020-06-03,04:30:30,0,0
2020-06-03,04:30:31,0,0
2020-06-03,04:30:32,0,0
2020-06-03,04:30:33,0,0
2020-06-03,04:30:34,0,0
2020-06-03,04:30:35,0,0
2020-06-03,04:30:36,0,0
2020-06-03,04:30:37,0,0
2020-06-03,04:30:38,0,0
2020-06-03,04:30:39,0,0
2020-06-03,04:30:40,0,0
2020-06-03,04:30:41,0,0
2020-06-03,04:30:42,0,0
2020-06-03,04:30:43,0,0
2020-06-03,04:30:44,0,0
2020-06-03,04:30:45,0,0
2020-06-03,04:30:46,0,0
2020-06-03,04:30:47,0,0
2020-06-03,04:30:48,0,0
2020-06-03,04:30:49,0,0
2020-06-03,04:30:50,0,0
2020-06-03,04:30:51,0,0
